ds,y
2024-01-01,120.99
2024-01-02,124.72
2024-01-03,131.3
2024-01-04,131.05
2024-01-05,125.53
2024-01-06,116.53
2024-01-07,117.16
2024-01-08,121.53
2024-01-09,124.06
2024-01-10,131.09
2024-01-11,127.07
2024-01-12,125.07
2024-01-13,117.48
2024-01-14,110.17
2024-01-15,116.55
2024-01-16,123.88
2024-01-17,127.97
2024-01-18,128.63
2024-01-19,124.18
2024-01-20,114.18
2024-01-21,116.93
2024-01-22,119.55
2024-01-23,125.14
2024-01-24,127.15
2024-01-25,126.91
2024-01-26,126.22
2024-01-27,114.7
2024-01-28,114.75
2024-01-29,118.8
2024-01-30,124.42
2024-01-31,128.8
2024-02-01,131.7
2024-02-02,125.97
2024-02-03,114.88
2024-02-04,115.65
2024-02-05,117.56
2024-02-06,125.42
2024-02-07,126.08
2024-02-08,125.34
2024-02-09,126.39
2024-02-10,118.48
2024-02-11,114.34
2024-02-12,119.77
2024-02-13,124.4
2024-02-14,127.04
2024-02-15,126.56
2024-02-16,125.08
2024-02-17,119.11
2024-02-18,114.69
2024-02-19,116.47
2024-02-20,125.65
2024-02-21,129.23
2024-02-22,126.65
2024-02-23,127.22
2024-02-24,119.06
2024-02-25,115.86
2024-02-26,118.32
2024-02-27,124.38
2024-02-28,130.66
2024-02-29,129.95
2024-03-01,125.04
2024-03-02,116.63
2024-03-03,111.79
2024-03-04,117.61
2024-03-05,126.63
2024-03-06,132.71
2024-03-07,127.86
2024-03-08,128.01
2024-03-09,117.72
2024-03-10,112.71
2024-03-11,120.72
2024-03-12,128.08
2024-03-13,129.93
2024-03-14,131.13
2024-03-15,120.76
2024-03-16,118.64
2024-03-17,114.17
2024-03-18,119.4
2024-03-19,125.18
2024-03-20,126.02
2024-03-21,127.56
2024-03-22,126.71
2024-03-23,119.96
2024-03-24,112.96
2024-03-25,118.38
2024-03-26,124.0
2024-03-27,131.83
2024-03-28,128.66
2024-03-29,124.94
2024-03-30,118.03
2024-03-31,114.19
2024-04-01,121.94
2024-04-02,123.6
2024-04-03,129.34
2024-04-04,127.22
2024-04-05,123.07
2024-04-06,117.59
2024-04-07,114.52
2024-04-08,120.01
2024-04-09,124.53
2024-04-10,127.17
2024-04-11,127.16
2024-04-12,125.31
2024-04-13,115.4
2024-04-14,113.68
2024-04-15,120.81
2024-04-16,128.77
2024-04-17,130.35
2024-04-18,128.52
2024-04-19,125.85
2024-04-20,113.16
2024-04-21,113.95
2024-04-22,120.12
2024-04-23,129.93
2024-04-24,129.62
2024-04-25,128.6
2024-04-26,125.93
2024-04-27,114.66
2024-04-28,116.29
2024-04-29,121.5
2024-04-30,126.58
2024-05-01,128.18
2024-05-02,130.81
2024-05-03,123.2
2024-05-04,118.17
2024-05-05,118.38
2024-05-06,118.02
2024-05-07,123.87
2024-05-08,130.2
2024-05-09,126.99
2024-05-10,122.9
2024-05-11,117.14
2024-05-12,111.88
2024-05-13,120.95
2024-05-14,123.16
2024-05-15,133.1
2024-05-16,126.43
2024-05-17,125.36
2024-05-18,118.63
2024-05-19,111.54
2024-05-20,120.45
2024-05-21,127.61
2024-05-22,126.79
2024-05-23,128.37
2024-05-24,126.52
2024-05-25,118.56
2024-05-26,111.53
2024-05-27,117.36
2024-05-28,126.04
2024-05-29,130.59
2024-05-30,128.5
2024-05-31,126.69
2024-06-01,115.64
2024-06-02,114.46
2024-06-03,120.59
2024-06-04,123.57
2024-06-05,133.73
2024-06-06,128.95
2024-06-07,123.62
2024-06-08,118.31
2024-06-09,112.05
2024-06-10,121.57
2024-06-11,127.32
2024-06-12,128.36
2024-06-13,129.93
2024-06-14,126.83
2024-06-15,118.64
2024-06-16,117.79
2024-06-17,119.51
2024-06-18,123.49
2024-06-19,128.22
2024-06-20,126.37
2024-06-21,125.85
2024-06-22,117.68
2024-06-23,114.55
2024-06-24,121.65
2024-06-25,125.03
2024-06-26,132.91
2024-06-27,127.47
2024-06-28,131.44
2024-06-29,118.25
2024-06-30,112.29
2024-07-01,117.86
2024-07-02,125.96
2024-07-03,129.55
2024-07-04,129.43
2024-07-05,126.95
2024-07-06,116.85
2024-07-07,112.31
2024-07-08,116.97
2024-07-09,124.11
2024-07-10,131.71
2024-07-11,128.43
2024-07-12,123.51
2024-07-13,117.35
2024-07-14,114.77
2024-07-15,118.23
2024-07-16,125.31
2024-07-17,130.12
2024-07-18,125.71
2024-07-19,126.72
2024-07-20,118.12
2024-07-21,116.17
2024-07-22,122.11
2024-07-23,122.24
2024-07-24,128.12
2024-07-25,129.03
2024-07-26,127.03
2024-07-27,118.03
2024-07-28,121.71
2024-07-29,121.14
2024-07-30,127.27
2024-07-31,131.91
2024-08-01,129.3
2024-08-02,125.37
2024-08-03,118.52
2024-08-04,112.45
2024-08-05,119.53
2024-08-06,124.03
2024-08-07,130.16
2024-08-08,132.63
2024-08-09,122.27
2024-08-10,118.37
2024-08-11,110.77
2024-08-12,119.06
2024-08-13,127.18
2024-08-14,130.13
2024-08-15,125.84
2024-08-16,124.57
2024-08-17,118.36
2024-08-18,112.54
2024-08-19,120.43
2024-08-20,125.09
2024-08-21,128.7
2024-08-22,132.29
2024-08-23,127.27
2024-08-24,112.95
2024-08-25,114.37
2024-08-26,118.68
2024-08-27,126.7
2024-08-28,128.41
2024-08-29,127.77
2024-08-30,127.01
2024-08-31,118.73
2024-09-01,111.6
2024-09-02,119.33
2024-09-03,124.05
2024-09-04,128.69
2024-09-05,131.53
2024-09-06,126.81
2024-09-07,114.48
2024-09-08,115.84
2024-09-09,124.24
2024-09-10,127.06
2024-09-11,126.96
2024-09-12,127.03
2024-09-13,128.53
2024-09-14,115.58
2024-09-15,114.89
2024-09-16,121.55
2024-09-17,123.15
2024-09-18,129.88
2024-09-19,121.52
2024-09-20,123.95
2024-09-21,116.49
2024-09-22,111.5
2024-09-23,123.26
2024-09-24,122.14
2024-09-25,129.12
2024-09-26,128.26
2024-09-27,128.88
2024-09-28,114.13
2024-09-29,116.33
2024-09-30,120.02
2024-10-01,123.04
2024-10-02,130.92
2024-10-03,128.4
2024-10-04,124.8
2024-10-05,117.14
2024-10-06,113.23
2024-10-07,120.23
2024-10-08,126.32
2024-10-09,133.17
2024-10-10,125.52
2024-10-11,130.27
2024-10-12,113.1
2024-10-13,113.7
2024-10-14,121.18
2024-10-15,125.56
2024-10-16,128.75
2024-10-17,127.58
2024-10-18,125.01
2024-10-19,115.82
2024-10-20,115.7
2024-10-21,120.71
2024-10-22,123.61
2024-10-23,131.8
2024-10-24,128.61
2024-10-25,127.63
2024-10-26,118.26
2024-10-27,112.34
2024-10-28,118.88
2024-10-29,126.49
2024-10-30,131.22
2024-10-31,127.96
2024-11-01,126.23
2024-11-02,119.56
2024-11-03,112.82
2024-11-04,121.09
2024-11-05,124.6
2024-11-06,129.56
2024-11-07,130.2
2024-11-08,127.65
2024-11-09,118.63
2024-11-10,116.61
2024-11-11,120.04
2024-11-12,126.36
2024-11-13,129.38
2024-11-14,128.65
2024-11-15,125.74
2024-11-16,117.19
2024-11-17,115.19
2024-11-18,118.36
2024-11-19,129.18
2024-11-20,127.99
2024-11-21,125.57
2024-11-22,128.32
2024-11-23,118.58
2024-11-24,115.25
2024-11-25,121.26
2024-11-26,124.98
2024-11-27,128.21
2024-11-28,128.15
2024-11-29,124.65
2024-11-30,118.95
2024-12-01,113.71
2024-12-02,118.35
2024-12-03,124.36
2024-12-04,130.83
2024-12-05,126.87
2024-12-06,124.36
2024-12-07,117.49
2024-12-08,114.49
2024-12-09,118.99
2024-12-10,124.06
2024-12-11,130.46
2024-12-12,125.1
2024-12-13,123.19
2024-12-14,115.56
2024-12-15,113.57
2024-12-16,120.62
2024-12-17,127.95
2024-12-18,131.72
2024-12-19,127.68
2024-12-20,125.96
2024-12-21,114.99
2024-12-22,113.96
2024-12-23,119.42
2024-12-24,125.65
2024-12-25,128.35
2024-12-26,129.04
2024-12-27,129.07
2024-12-28,116.78
2024-12-29,114.8
2024-12-30,121.38
2024-12-31,124.2
